date,account_name,account_id,topic,content,likes,retweets,replies,impressions
2025-02-01,政策ウォッチャー,user_01,AI政策,AIの規制に関する新しい法案が提出されました,120,45,12,8500
2025-02-01,テック太郎,user_02,デジタル化,マイナンバーカードの新機能が追加されるそうです,85,30,8,6200
2025-02-01,教育現場から,user_03,教育改革,新しい学習指導要領についての意見をまとめました,200,80,25,12000
2025-02-02,経済アナリスト,user_04,経済対策,中小企業の支援策がようやく具体化してきた,150,60,18,9800
2025-02-02,環境活動家,user_05,環境問題,再生可能エネルギーの導入目標が引き上げられました,95,35,10,7100
2025-02-02,市民の声,user_06,子育て支援,保育所の待機児童がまた増加している地域がある,180,70,22,11000
2025-02-03,大学教授C,user_07,AI政策,生成AIの教育利用に関するガイドラインを策定すべき,250,100,30,15000
2025-02-03,地方議員B,user_08,地方創生,テレワーク移住者向けの支援制度を開始しました,110,40,14,7800
2025-02-03,医療従事者の本音,user_09,医療制度,遠隔医療の普及で地方の医療格差解消に期待,160,55,20,10500
2025-02-04,エンジニアF,user_10,デジタル化,行政のオンライン手続きがまだまだ不便すぎる,300,120,40,18000
2025-02-04,NPO代表E,user_11,防災対策,災害時のSNS活用ガイドラインの整備が急務,90,25,8,5500
2025-02-04,フリーランスJ,user_12,経済対策,インボイス制度の影響で事業継続が厳しい状況,280,110,35,16500
2025-02-05,看護師Q,user_13,医療制度,医療従事者の待遇改善を求める署名活動を開始,220,90,28,13500
2025-02-05,保育士S,user_14,子育て支援,保育士の配置基準見直しが必要だと思います,175,65,20,10000
2025-02-05,消防士HH,user_15,防災対策,南海トラフ地震に備えた防災訓練を実施しました,130,50,15,8200
2025-02-06,スタートアップ社長,user_16,AI政策,AIスタートアップへの投資環境を整備してほしい,190,75,22,11500
2025-02-06,建築家N,user_17,交通インフラ,老朽化した橋梁の補修計画が遅れている現状,100,38,12,6800
2025-02-06,農業従事者O,user_18,地方創生,スマート農業の導入で若者の就農が増えている,140,52,16,8900
2025-02-07,政策ウォッチャー,user_01,教育改革,教員の働き方改革に関する提言がまとまりました,170,63,19,10200
2025-02-07,ジャーナリストD,user_19,環境問題,カーボンニュートラル達成に向けた課題を取材,125,48,14,7500
